workers,throughput,latency
1,2565.2535997147525,0.0004439959920634921
2,4306.499437787299,0.0005250451262626262
3,5873.052857883248,0.0005154057387955182
4,6378.630862709316,0.0006571193294510788
5,6318.708923946109,0.0008054952587719299
6,6079.983796161173,0.0010058912561648591
7,6314.008415134153,0.0011186322148508527
8,6168.265143093145,0.0013386677598815338
9,5997.681635266322,0.0015238034181744374
10,5517.174792117817,0.0018192031842105265
